Date,High Risk
2022-03-15,2475.685345957304
2022-03-16,2511.6340590630357
2022-03-17,2525.7614545068295
2022-03-18,2544.382233494093
2022-03-20,2561.3460092749
2022-03-21,2591.0287554998126
2022-03-22,2586.639448396391
2022-03-23,2560.3976637798783
2022-03-24,2565.910446029998
2022-03-25,2575.509330209472
2022-03-27,2573.989771488693
2022-03-28,2570.7261749082995
2022-03-29,2589.351799937731
2022-03-30,2604.1871509830885
2022-03-31,2593.1352457238736
2022-04-01,2593.1352457238736
2022-04-03,2600.407311714406
2022-04-04,2606.811507223758
2022-04-05,2609.0155069272864
2022-04-06,2603.2791074564066
2022-04-07,2596.5252270924975
2022-04-08,2610.906369177333
2022-04-10,2597.6457628986104
2022-04-11,2601.6338265880104
2022-04-12,2653.222747283851
2022-04-13,2675.5458054245332
2022-04-14,2665.875682841182
2022-04-15,2667.3698592839482
2022-04-17,2653.825887167831
2022-04-18,2660.464143250082
2022-04-19,2684.3056988171493
2022-04-20,2688.1279225080407
2022-04-21,2700.213276958946
2022-04-22,2713.5064486176166
2022-04-25,2717.899686614611
2022-04-26,2742.194484491617
2022-04-27,2763.517359835963
2022-04-28,2799.456560998284
2022-04-29,2832.887938056361
2022-05-04,2832.887938056361
2022-05-05,2861.7856236307066
2022-05-06,2874.860247272298
2022-05-09,2902.360770922299
2022-05-10,2889.1189036886335
2022-05-11,2882.7565129931504
2022-05-12,2870.935444919946
2022-05-13,2861.954578356343
2022-05-15,2859.6074942803143
2022-05-16,2852.0718358880613
2022-05-17,2842.758592512083
2022-05-18,2827.540181077954
2022-05-19,2802.170065539724
2022-05-20,2813.3619645496137
2022-05-22,2813.1388561551903
2022-05-23,2811.1252690052884
2022-05-24,2780.6120954772955
2022-05-25,2751.3030412503326
2022-05-26,2753.916542931841
2022-05-27,2765.062155397673
2022-05-29,2762.5593263435258
2022-05-30,2765.044770025985
2022-05-31,2786.4389738110713
2022-06-01,2786.4389738110713
2022-06-02,2796.299355890121
2022-06-03,2807.596994120996
2022-06-05,2814.099195018115
2022-06-06,2817.3793692436725
2022-06-07,2838.47703186166
